Tidstämpel,Namn,Epost,Stora Nöjen,Fredagstider,Lördagstider,Söndagstider,Övrigt
2018-01-27 17.35.49,Nille,c@shapeapp.se,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se1,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se2,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se3,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se4,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se5,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se6,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se7,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se8,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se9,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
2018-01-27 17.35.49,Nille,c@shapeapp.se10,"Operan, Showen, Spexet","16-18, 18-20","18-20, 20-22","18-20, 20-22",
