Jury,Namn,Epost,StoraNojen,Tid,Dag
smallScene,Nille,c@shapeapp.se,"Operan, Showen, Spexet",18:44,sun
smallDance,Nille,c@shapeapp.se,"Operan, Showen, Spexet",18:50,sun
smallOrchest,Nille,c@shapeapp.se,"Operan, Showen, Spexet",17:00,fri
bigScene,Nille,c@shapeapp.se,"Operan, Showen, Spexet",18:40,sun
bigDance,Nille,c@shapeapp.se,"Operan, Showen, Spexet",18:00,sun
bigOrchest,Nille,c@shapeapp.se,"Operan, Showen, Spexet",18:36,sun
smallScene,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:40,sun
smallDance,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:50,sun
smallOrchest,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:28,sun
bigScene,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:44,sun
bigDance,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:00,sun
bigOrchest,Nille,c@shapeapp.se1,"Operan, Showen, Spexet",18:32,sun
smallScene,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:36,sun
smallDance,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:50,sun
smallOrchest,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:32,sun
bigScene,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:28,sun
bigDance,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:00,sun
bigOrchest,Nille,c@shapeapp.se2,"Operan, Showen, Spexet",18:44,sun
smallScene,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:28,sun
smallDance,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:50,sun
smallOrchest,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:36,sun
bigScene,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:32,sun
bigDance,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:00,sun
bigOrchest,Nille,c@shapeapp.se3,"Operan, Showen, Spexet",18:40,sun
smallScene,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:32,sun
smallDance,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:50,sun
smallOrchest,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:40,sun
bigScene,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:36,sun
bigDance,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:00,sun
bigOrchest,Nille,c@shapeapp.se4,"Operan, Showen, Spexet",18:28,sun
